number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,params_tree_method,state
0,0.9556666666666667,0.0022317357154417647,0.8326736947664186,logloss,1.6001596336135113,0.015623200116075861,7.0,125.0,0.8813416225691353,gpu_hist,COMPLETE
1,0.91715,1.5489322173125823,0.7133002013282672,logloss,3.7294537316579706,0.007025153206663864,20.0,213.0,0.5642309261505809,gpu_hist,COMPLETE
2,0.9746666666666667,0.009347257364350636,0.7886402151013856,logloss,0.9896935471030158,0.04623141605216427,13.0,24.0,0.6556252111688834,gpu_hist,COMPLETE
3,0.9072833333333333,0.0014286048736056667,0.9546362560812076,logloss,0.0033136545053461925,0.010473291956332292,13.0,257.0,0.4060709036339146,gpu_hist,COMPLETE
4,0.9309666666666667,0.15948051331073906,0.5829503337426302,logloss,0.06823856183776143,0.017246994488130947,9.0,217.0,0.5263327880113857,gpu_hist,COMPLETE
5,0.9289833333333334,0.026081247378902522,0.3448071408830843,logloss,0.005147311350660822,0.0073579256427683615,17.0,171.0,0.619074266164851,gpu_hist,COMPLETE
6,0.9180333333333334,0.18034771144715686,0.6310229165977067,logloss,0.010098395237853865,0.007473629372775172,15.0,227.0,0.5696958855284309,gpu_hist,COMPLETE
7,0.9410833333333334,0.018308141984035478,0.9673955858977492,logloss,0.11820967541794479,0.016120499343448082,11.0,145.0,0.4964120038983705,gpu_hist,COMPLETE
8,0.9597833333333333,9.323571857516589,0.3837257357814309,logloss,0.12187184545237356,0.08929934403682524,11.0,158.0,0.790866836927314,gpu_hist,COMPLETE
9,0.9208,0.006966601138874177,0.9034192514200112,logloss,0.00303098901449091,0.0100948911159641,3.0,253.0,0.9658761578819081,gpu_hist,COMPLETE
10,0.9582166666666667,0.0493015856387246,0.7881263714221669,logloss,0.792376647433781,0.0010950838604187605,13.0,1.0,0.7083460071364462,gpu_hist,COMPLETE
11,0.9690333333333333,6.0321419911233,0.4469329532960461,logloss,0.23978114305189277,0.09995230783554078,11.0,73.0,0.7733643232801763,gpu_hist,COMPLETE
12,0.9735666666666667,0.8292652180247096,0.48444167621117085,logloss,0.49859819635251373,0.08787166539576682,5.0,41.0,0.7466675654771405,gpu_hist,COMPLETE
13,,,,,,,,,,,FAIL
14,,,,,,,,,,,FAIL
15,,0.6283568669108252,0.5317640509488419,logloss,7.033933909355627,0.04312670376232237,5.0,2.0,0.6743616862492947,gpu_hist,FAIL
16,,,,,,,,,,,FAIL
17,,,,,,,,,,,FAIL
18,0.977,0.6784433239652391,0.5305728050552398,logloss,7.279780273270483,0.04206860846914612,5.0,2.0,0.658393317777556,gpu_hist,COMPLETE
19,0.9752166666666666,1.0837524503805835,0.5577785438904893,logloss,8.71512711618254,0.04521337356595473,5.0,16.0,0.667104337235986,gpu_hist,COMPLETE
20,0.96505,0.7082764392796036,0.5610457362422541,logloss,9.205163640245669,0.033997118394283904,5.0,93.0,0.8414507441887358,gpu_hist,COMPLETE
21,0.9675666666666667,2.328093585906526,0.4983746842652185,logloss,8.651185989472413,0.04278458609186614,5.0,63.0,0.6569784590200637,gpu_hist,COMPLETE
22,0.92055,0.3155547333834339,0.6852779645206734,logloss,2.661312975711766,0.0018247376875285414,5.0,4.0,0.4224042897171234,gpu_hist,COMPLETE
